citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,SI	0 	0 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,UK	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,AT	0 	: 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,BE	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,BG	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,EL	: 	: 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,ES	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,FI	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,IT	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,LT	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,LU	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,NO	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,PL	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,RO	: 	0 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,SE	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,SI	0 	0 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,M,UK	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,AT	0 	: 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,BE	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,BG	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,EL	: 	: 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,ES	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,FI	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,IT	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,LT	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,LU	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,NO	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,PL	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,RO	: 	0 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,SE	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,SI	0 	0 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,T,UK	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,AT	188 	185 	211 	182 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,BE	: 	: 	: 	95 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,BG	: 	21 	: 	7 p
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,EL	: 	: 	: 	6 
