age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
TOTAL,COMPLET,CC5_15_FOR,NR,M,BE	1909 	1759 	1533 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,BG	1247 	1312 p	1566 p	2904 
TOTAL,COMPLET,CC5_15_FOR,NR,M,CH	3876 	3426 	3162 	2909 
TOTAL,COMPLET,CC5_15_FOR,NR,M,CY	15 	37 	16 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,CZ	985 	325 	232 	295 
TOTAL,COMPLET,CC5_15_FOR,NR,M,DE	26301 be	40314 	27522 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,DK	590 	490 	461 	506 
TOTAL,COMPLET,CC5_15_FOR,NR,M,EE	71 	61 b	23 	24 
TOTAL,COMPLET,CC5_15_FOR,NR,M,EL	2916 b	2678 	2639 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,ES	946 	797 	677 	652 
TOTAL,COMPLET,CC5_15_FOR,NR,M,FI	309 	245 	282 	285 
TOTAL,COMPLET,CC5_15_FOR,NR,M,FR	4813 	4223 	3541 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,HR	662 	516 	462.0 	400.0 
TOTAL,COMPLET,CC5_15_FOR,NR,M,HU	2462 	2872 	2867 	2211 
TOTAL,COMPLET,CC5_15_FOR,NR,M,IE	78 	59 	61 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,IS	60 	28 	24 	27 
TOTAL,COMPLET,CC5_15_FOR,NR,M,IT	6424 	5643 	5636 	6081 
TOTAL,COMPLET,CC5_15_FOR,NR,M,LI	8 	5 	4 	16 
TOTAL,COMPLET,CC5_15_FOR,NR,M,LT	72 	34 	43 	32 
TOTAL,COMPLET,CC5_15_FOR,NR,M,LU	439 	357 	328 	281 
TOTAL,COMPLET,CC5_15_FOR,NR,M,LV	22 	26 	21 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,MT	891 	787 	468 	232 
TOTAL,COMPLET,CC5_15_FOR,NR,M,NL	2211 	1837 	1803 	1895 
TOTAL,COMPLET,CC5_15_FOR,NR,M,NO	907 	769 	761 	659 
TOTAL,COMPLET,CC5_15_FOR,NR,M,PL	1215 ep	1365 p	2077 p	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,PT	8 e	5 	2 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,RO	1295 	911 	280 	433 
TOTAL,COMPLET,CC5_15_FOR,NR,M,SE	2304 	2119 	1894 	1805 
TOTAL,COMPLET,CC5_15_FOR,NR,M,SI	2137 	1653 	1751 	1629 
TOTAL,COMPLET,CC5_15_FOR,NR,M,SK	107 p	96 p	82 p	79 p
TOTAL,COMPLET,CC5_15_FOR,NR,M,UK	5088 	2296 	1689 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,AT	10847 	10837 	9314 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,BE	3339 	3234 	2880 	: 
