age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
Y50-54,REACH,NAT,NR,T,NO	224 	240 	219 	196 
Y50-54,REACH,NAT,NR,T,PL	5007 ep	4672 p	7515 p	6793 
Y50-54,REACH,NAT,NR,T,PT	587 e	625 	358 	282 
Y50-54,REACH,NAT,NR,T,SE	659 	625 	607 	589 
Y50-54,REACH,NAT,NR,T,SK	55 p	55 p	41 p	41 p
Y50-54,REACH,NEU28_FOR,NR,F,BE	730 	761 	580 	588 
Y50-54,REACH,NEU28_FOR,NR,F,BG	238 p	270 p	311 p	248 p
Y50-54,REACH,NEU28_FOR,NR,F,CH	1000 	924 	883 	968 
Y50-54,REACH,NEU28_FOR,NR,F,CY	344 	88 	82 	143 
Y50-54,REACH,NEU28_FOR,NR,F,CZ	361 	152 	176 	195 
Y50-54,REACH,NEU28_FOR,NR,F,DE	5347 be	7732 	4296 	2932 
Y50-54,REACH,NEU28_FOR,NR,F,DK	324 	281 	222 	227 
Y50-54,REACH,NEU28_FOR,NR,F,EE	73 	79 b	24 	32 
Y50-54,REACH,NEU28_FOR,NR,F,ES	6120 	4579 	3963 	3558 
Y50-54,REACH,NEU28_FOR,NR,F,FI	205 	172 	189 	192 
Y50-54,REACH,NEU28_FOR,NR,F,FR	2309 	2448 	2215 	1907 
Y50-54,REACH,NEU28_FOR,NR,F,HR	164 	174 	171 	200 
Y50-54,REACH,NEU28_FOR,NR,F,HU	351 	429 	465 	251 
Y50-54,REACH,NEU28_FOR,NR,F,IS	18 	9 	10 	4 
Y50-54,REACH,NEU28_FOR,NR,F,IT	3573 	3431 	3868 	4889 
Y50-54,REACH,NEU28_FOR,NR,F,LI	6 	10 	9 	7 
Y50-54,REACH,NEU28_FOR,NR,F,LT	80 	94 	127 	94 
Y50-54,REACH,NEU28_FOR,NR,F,LU	121 	115 	93 	98 
Y50-54,REACH,NEU28_FOR,NR,F,LV	37 	40 	82 	86 
Y50-54,REACH,NEU28_FOR,NR,F,NL	1124 	834 	730 	619 
Y50-54,REACH,NEU28_FOR,NR,F,NO	349 	263 	264 	248 
Y50-54,REACH,NEU28_FOR,NR,F,PL	1283 ep	2132 p	1892 p	1578 
Y50-54,REACH,NEU28_FOR,NR,F,PT	220 e	195 	140 	51 
Y50-54,REACH,NEU28_FOR,NR,F,SE	1475 	1056 	1010 	905 
Y50-54,REACH,NEU28_FOR,NR,F,SK	16 p	15 p	16 p	12 p
Y50-54,REACH,NEU28_FOR,NR,M,BE	946 	1097 	878 	800 
Y50-54,REACH,NEU28_FOR,NR,M,BG	296 p	377 p	394 p	419 p
Y50-54,REACH,NEU28_FOR,NR,M,CH	993 	970 	941 	864 
Y50-54,REACH,NEU28_FOR,NR,M,CY	16 	15 	0 	215 
Y50-54,REACH,NEU28_FOR,NR,M,CZ	526 	227 	217 	241 
Y50-54,REACH,NEU28_FOR,NR,M,DE	6959 be	11629 	5776 	3878 
Y50-54,REACH,NEU28_FOR,NR,M,DK	367 	355 	349 	255 
Y50-54,REACH,NEU28_FOR,NR,M,EE	181 	185 b	64 	51 
Y50-54,REACH,NEU28_FOR,NR,M,ES	4700 	3740 	3387 	2899 
Y50-54,REACH,NEU28_FOR,NR,M,FI	202 	167 	144 	154 
Y50-54,REACH,NEU28_FOR,NR,M,FR	2611 	2408 	2110 	1825 
Y50-54,REACH,NEU28_FOR,NR,M,HR	423 	267 	194 	197 
Y50-54,REACH,NEU28_FOR,NR,M,HU	530 	673 	703 	324 
Y50-54,REACH,NEU28_FOR,NR,M,IS	35 	17 	7 	13 
Y50-54,REACH,NEU28_FOR,NR,M,IT	2462 	2227 	2173 	2385 
Y50-54,REACH,NEU28_FOR,NR,M,LI	9 	5 	13 	13 
Y50-54,REACH,NEU28_FOR,NR,M,LT	438 	246 	245 	170 
Y50-54,REACH,NEU28_FOR,NR,M,LU	136 	151 	118 	123 
Y50-54,REACH,NEU28_FOR,NR,M,LV	128 	146 	289 	139 
Y50-54,REACH,NEU28_FOR,NR,M,NL	1500 	1176 	991 	797 
Y50-54,REACH,NEU28_FOR,NR,M,NO	342 	330 	339 	288 
Y50-54,REACH,NEU28_FOR,NR,M,PL	1820 ep	2388 p	1872 p	1628 
Y50-54,REACH,NEU28_FOR,NR,M,PT	260 e	185 	119 	71 
Y50-54,REACH,NEU28_FOR,NR,M,SE	1708 	1408 	1450 	1049 
Y50-54,REACH,NEU28_FOR,NR,M,SK	38 p	38 p	34 p	23 p
Y50-54,REACH,NEU28_FOR,NR,T,BE	1676 	1858 	1458 	1388 
Y50-54,REACH,NEU28_FOR,NR,T,BG	534 p	647 p	705 p	667 p
Y50-54,REACH,NEU28_FOR,NR,T,CH	1993 	1894 	1824 	1832 
Y50-54,REACH,NEU28_FOR,NR,T,CY	360 	103 	82 	358 
Y50-54,REACH,NEU28_FOR,NR,T,CZ	887 	379 	393 	436 
Y50-54,REACH,NEU28_FOR,NR,T,DE	12306 be	19361 	10072 	6810 
Y50-54,REACH,NEU28_FOR,NR,T,DK	691 	636 	571 	482 
Y50-54,REACH,NEU28_FOR,NR,T,EE	254 	264 b	88 	83 
Y50-54,REACH,NEU28_FOR,NR,T,ES	10820 	8319 	7350 	6457 
Y50-54,REACH,NEU28_FOR,NR,T,FI	407 	339 	333 	346 
Y50-54,REACH,NEU28_FOR,NR,T,FR	4920 	4856 	4325 	3732 
Y50-54,REACH,NEU28_FOR,NR,T,HR	587 	441 	365 	397 
Y50-54,REACH,NEU28_FOR,NR,T,HU	881 	1102 	1168 	575 
Y50-54,REACH,NEU28_FOR,NR,T,IS	53 	26 	17 	17 
Y50-54,REACH,NEU28_FOR,NR,T,IT	6035 	5658 	6041 	7274 
Y50-54,REACH,NEU28_FOR,NR,T,LI	15 	15 	22 	20 
Y50-54,REACH,NEU28_FOR,NR,T,LT	518 	340 	372 	264 
Y50-54,REACH,NEU28_FOR,NR,T,LU	257 	266 	211 	221 
Y50-54,REACH,NEU28_FOR,NR,T,LV	165 	186 	371 	225 
Y50-54,REACH,NEU28_FOR,NR,T,NL	2624 	2010 	1721 	1416 
Y50-54,REACH,NEU28_FOR,NR,T,NO	691 	593 	603 	536 
Y50-54,REACH,NEU28_FOR,NR,T,PL	3103 ep	4520 p	3764 p	3206 
Y50-54,REACH,NEU28_FOR,NR,T,PT	480 e	380 	259 	122 
Y50-54,REACH,NEU28_FOR,NR,T,SE	3183 	2464 	2460 	1954 
Y50-54,REACH,NEU28_FOR,NR,T,SK	54 p	53 p	50 p	35 p
Y50-54,REACH,TOTAL,NR,F,BE	1744 	1855 	1734 	1577 
Y50-54,REACH,TOTAL,NR,F,BG	647 p	796 p	822 p	488 p
Y50-54,REACH,TOTAL,NR,F,CH	2810 	2904 	2926 	3004 
Y50-54,REACH,TOTAL,NR,F,CY	538 	168 	125 	195 
Y50-54,REACH,TOTAL,NR,F,CZ	750 	379 	477 	454 
Y50-54,REACH,TOTAL,NR,F,DE	13860 be	17078 	12778 	10493 
Y50-54,REACH,TOTAL,NR,F,DK	767 	745 	630 	599 
Y50-54,REACH,TOTAL,NR,F,EE	259 	310 b	56 	78 
Y50-54,REACH,TOTAL,NR,F,ES	9364 	7452 	6710 	6003 
Y50-54,REACH,TOTAL,NR,F,FI	445 	436 	542 	545 
Y50-54,REACH,TOTAL,NR,F,FR	5253 	5378 	4957 	4358 
Y50-54,REACH,TOTAL,NR,F,HR	306 	286 	268 	277 
Y50-54,REACH,TOTAL,NR,F,HU	957 	963 	971 	636 
Y50-54,REACH,TOTAL,NR,F,IS	109 	71 	68 	69 
Y50-54,REACH,TOTAL,NR,F,IT	6579 	6496 	7224 	8841 
Y50-54,REACH,TOTAL,NR,F,LI	17 	23 	19 	12 
Y50-54,REACH,TOTAL,NR,F,LT	297 	443 	483 	425 
Y50-54,REACH,TOTAL,NR,F,LU	413 	405 	406 	378 
Y50-54,REACH,TOTAL,NR,F,LV	131 	140 	261 	257 
Y50-54,REACH,TOTAL,NR,F,NL	2311 	1977 	1862 	1654 
Y50-54,REACH,TOTAL,NR,F,NO	689 	628 	703 	670 
Y50-54,REACH,TOTAL,NR,F,PL	3721 ep	4368 p	6107 p	5206 
Y50-54,REACH,TOTAL,NR,F,PT	598 e	588 	360 	121 
Y50-54,REACH,TOTAL,NR,F,SE	2112 	1659 	1586 	1424 
Y50-54,REACH,TOTAL,NR,F,SK	76 p	73 p	51 p	46 p
Y50-54,REACH,TOTAL,NR,M,BE	2852 	2975 	2680 	2572 
Y50-54,REACH,TOTAL,NR,M,BG	811 p	1025 p	1031 p	725 p
Y50-54,REACH,TOTAL,NR,M,CH	3951 	4035 	4069 	4191 
Y50-54,REACH,TOTAL,NR,M,CY	184 	105 	68 	301 
Y50-54,REACH,TOTAL,NR,M,CZ	1374 	659 	689 	777 
Y50-54,REACH,TOTAL,NR,M,DE	21643 be	26750 	19811 	16761 
Y50-54,REACH,TOTAL,NR,M,DK	1177 	1113 	1059 	861 
Y50-54,REACH,TOTAL,NR,M,EE	656 	746 b	126 	123 
Y50-54,REACH,TOTAL,NR,M,ES	8741 	7345 	6641 	5697 
Y50-54,REACH,TOTAL,NR,M,FI	567 	542 	568 	529 
Y50-54,REACH,TOTAL,NR,M,FR	6879 	5898 	5488 	5198 
Y50-54,REACH,TOTAL,NR,M,HR	663 	460 	327 	299 
Y50-54,REACH,TOTAL,NR,M,HU	1468 	1525 	1529 	955 
Y50-54,REACH,TOTAL,NR,M,IS	238 	141 	120 	115 
Y50-54,REACH,TOTAL,NR,M,IT	4332 	3853 	3653 	4189 
Y50-54,REACH,TOTAL,NR,M,LI	24 	21 	21 	35 
Y50-54,REACH,TOTAL,NR,M,LT	706 	641 	685 	582 
Y50-54,REACH,TOTAL,NR,M,LU	602 	659 	627 	599 
Y50-54,REACH,TOTAL,NR,M,LV	280 	320 	576 	387 
Y50-54,REACH,TOTAL,NR,M,NL	3240 	2831 	2636 	2271 
Y50-54,REACH,TOTAL,NR,M,NO	831 	943 	1076 	1059 
Y50-54,REACH,TOTAL,NR,M,PL	5704 ep	6454 p	7119 p	6722 
Y50-54,REACH,TOTAL,NR,M,PT	850 e	854 	500 	387 
Y50-54,REACH,TOTAL,NR,M,SE	2728 	2272 	2358 	1884 
Y50-54,REACH,TOTAL,NR,M,SK	189 p	189 p	129 p	133 p
Y50-54,REACH,TOTAL,NR,T,BE	4596 	4830 	4414 	4149 
Y50-54,REACH,TOTAL,NR,T,BG	1458 p	1821 p	1853 p	1213 p
Y50-54,REACH,TOTAL,NR,T,CH	6761 	6939 	6995 	7195 
Y50-54,REACH,TOTAL,NR,T,CY	722 	273 	193 	496 
Y50-54,REACH,TOTAL,NR,T,CZ	2124 	1038 	1166 	1231 
Y50-54,REACH,TOTAL,NR,T,DE	35503 be	43828 	32589 	27254 
Y50-54,REACH,TOTAL,NR,T,DK	1944 	1858 	1689 	1460 
Y50-54,REACH,TOTAL,NR,T,EE	915 	1056 b	182 	201 
Y50-54,REACH,TOTAL,NR,T,ES	18105 	14797 	13351 	11700 
Y50-54,REACH,TOTAL,NR,T,FI	1012 	978 	1110 	1074 
Y50-54,REACH,TOTAL,NR,T,FR	12132 	11276 	10445 	9556 
Y50-54,REACH,TOTAL,NR,T,HR	969 	746 	595 	576 
Y50-54,REACH,TOTAL,NR,T,HU	2425 	2488 	2500 	1591 
Y50-54,REACH,TOTAL,NR,T,IS	347 	212 	188 	184 
Y50-54,REACH,TOTAL,NR,T,IT	10911 	10349 	10877 	13030 
Y50-54,REACH,TOTAL,NR,T,LI	41 	44 	40 	47 
Y50-54,REACH,TOTAL,NR,T,LT	1003 	1084 	1168 	1007 
Y50-54,REACH,TOTAL,NR,T,LU	1015 	1064 	1033 	977 
Y50-54,REACH,TOTAL,NR,T,LV	411 	460 	837 	644 
Y50-54,REACH,TOTAL,NR,T,NL	5551 	4808 	4498 	3925 
Y50-54,REACH,TOTAL,NR,T,NO	1520 	1571 	1779 	1729 
Y50-54,REACH,TOTAL,NR,T,PL	9425 ep	10822 p	13226 p	11928 
Y50-54,REACH,TOTAL,NR,T,PT	1448 e	1442 	860 	508 
Y50-54,REACH,TOTAL,NR,T,SE	4840 	3931 	3944 	3308 
Y50-54,REACH,TOTAL,NR,T,SK	265 p	262 p	180 p	179 p
Y50-54,REACH,UNK,NR,F,BE	4 	3 	4 	5 
Y50-54,REACH,UNK,NR,F,BG	0 p	0 p	0 p	0 p
Y50-54,REACH,UNK,NR,F,CH	9 	22 	12 	25 
Y50-54,REACH,UNK,NR,F,CY	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,CZ	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,DE	160 be	340 	39 	54 
Y50-54,REACH,UNK,NR,F,DK	0 	16 	11 	13 
Y50-54,REACH,UNK,NR,F,EE	0 	1 b	0 	0 
Y50-54,REACH,UNK,NR,F,ES	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,FI	3 	21 	15 	15 
Y50-54,REACH,UNK,NR,F,FR	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,HR	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,HU	1 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,IS	2 	1 	0 	0 
Y50-54,REACH,UNK,NR,F,IT	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,LI	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,LT	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,LU	2 	11 	13 	9 
Y50-54,REACH,UNK,NR,F,LV	1 	0 	1 	1 
Y50-54,REACH,UNK,NR,F,NL	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,NO	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,F,PL	70 ep	47 p	4 p	2 
Y50-54,REACH,UNK,NR,F,PT	2 e	2 	0 	0 
Y50-54,REACH,UNK,NR,F,SE	2 	2 	3 	2 
Y50-54,REACH,UNK,NR,F,SK	0 p	0 p	0 p	0 p
Y50-54,REACH,UNK,NR,M,BE	10 	14 	10 	5 
Y50-54,REACH,UNK,NR,M,BG	0 p	0 p	0 p	2 p
Y50-54,REACH,UNK,NR,M,CH	28 	31 	34 	18 
Y50-54,REACH,UNK,NR,M,CY	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,CZ	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,DE	220 be	456 	64 	115 
Y50-54,REACH,UNK,NR,M,DK	1 	22 	13 	10 
Y50-54,REACH,UNK,NR,M,EE	0 	0 b	1 	3 
Y50-54,REACH,UNK,NR,M,ES	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,FI	19 	31 	24 	27 
Y50-54,REACH,UNK,NR,M,FR	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,HR	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,HU	0 	1 	0 	0 
Y50-54,REACH,UNK,NR,M,IS	8 	1 	0 	0 
Y50-54,REACH,UNK,NR,M,IT	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,LI	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,LT	0 	0 	1 	0 
Y50-54,REACH,UNK,NR,M,LU	6 	22 	21 	19 
Y50-54,REACH,UNK,NR,M,LV	5 	6 	10 	1 
Y50-54,REACH,UNK,NR,M,NL	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,NO	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,M,PL	79 ep	57 p	4 p	0 
Y50-54,REACH,UNK,NR,M,PT	0 e	0 	0 	0 
Y50-54,REACH,UNK,NR,M,SE	1 	3 	2 	2 
Y50-54,REACH,UNK,NR,M,SK	0 p	0 p	0 p	0 p
Y50-54,REACH,UNK,NR,T,BE	14 	17 	14 	10 
Y50-54,REACH,UNK,NR,T,BG	0 p	0 p	0 p	2 p
Y50-54,REACH,UNK,NR,T,CH	37 	53 	46 	43 
Y50-54,REACH,UNK,NR,T,CY	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,CZ	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,DE	380 be	796 	103 	169 
Y50-54,REACH,UNK,NR,T,DK	1 	38 	24 	23 
Y50-54,REACH,UNK,NR,T,EE	0 	1 b	1 	3 
Y50-54,REACH,UNK,NR,T,ES	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,FI	22 	52 	39 	42 
Y50-54,REACH,UNK,NR,T,FR	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,HR	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,HU	1 	1 	0 	0 
Y50-54,REACH,UNK,NR,T,IS	10 	2 	0 	0 
Y50-54,REACH,UNK,NR,T,IT	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,LI	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,LT	0 	0 	1 	0 
Y50-54,REACH,UNK,NR,T,LU	8 	33 	34 	28 
Y50-54,REACH,UNK,NR,T,LV	6 	6 	11 	2 
Y50-54,REACH,UNK,NR,T,NL	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,NO	0 	0 	0 	0 
Y50-54,REACH,UNK,NR,T,PL	149 ep	104 p	8 p	2 
Y50-54,REACH,UNK,NR,T,PT	2 e	2 	0 	0 
Y50-54,REACH,UNK,NR,T,SE	3 	5 	5 	4 
Y50-54,REACH,UNK,NR,T,SK	0 p	0 p	0 p	0 p
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,AT	95 	83 	103 	80 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,BE	: 	: 	: 	15 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,BG	: 	: 	: 	14 p
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,EL	: 	: 	: 	15 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,ES	: 	: 	: 	5 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,FI	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,HR	: 	28 	26 	21 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,IE	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,IS	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,IT	: 	: 	: 	5 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,LT	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,LU	: 	: 	: 	1 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,NO	: 	: 	: 	1 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,PL	: 	: 	: 	14 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,RO	5 	2 	0 	1 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,SE	: 	: 	: 	13 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,SI	16 	22 	21 	17 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,F,UK	: 	: 	: 	98 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,AT	128 	116 	129 	120 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,BE	: 	: 	: 	21 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,BG	: 	: 	: 	76 p
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,EL	: 	: 	: 	7 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,ES	: 	: 	: 	6 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,FI	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,HR	: 	19 	16 	20 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,IE	: 	: 	: 	1 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,IS	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,IT	: 	: 	: 	8 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,LT	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,LU	: 	: 	: 	3 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,NO	: 	: 	: 	5 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,PL	: 	: 	: 	59 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,RO	29 	24 	8 	18 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,SE	: 	: 	: 	17 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,SI	76 	51 	59 	49 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,M,UK	: 	: 	: 	30 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,AT	223 	199 	232 	200 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,BE	: 	: 	: 	36 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,BG	: 	: 	: 	90 p
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,EL	: 	: 	: 	22 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,ES	: 	: 	: 	11 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,FI	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,HR	: 	47 	42 	41 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,IE	: 	: 	: 	1 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,IS	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,IT	: 	: 	: 	13 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,LT	: 	: 	: 	0 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,LU	: 	: 	: 	4 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,NO	: 	: 	: 	6 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,PL	: 	: 	: 	73 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,RO	34 	26 	8 	19 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,SE	: 	: 	: 	30 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,SI	92 	73 	80 	66 
Y55-59,COMPLET,CC5_13_FOR_X_IS,NR,T,UK	: 	: 	: 	128 
Y55-59,COMPLET,CC5_15_FOR,NR,F,AT	95 	85 	108 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,BE	17 	23 	13 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,BG	9 	9 	10 p	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,EL	38 b	32 	31 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,ES	14 	14 	7 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,FI	0 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,HR	22 	28 	26.0 	21.0 
Y55-59,COMPLET,CC5_15_FOR,NR,F,IE	1 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,IS	0 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,IT	342 	290 	260 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,LT	0 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,LU	8 	: 	: 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,MT	11 	4 	4 	3 
Y55-59,COMPLET,CC5_15_FOR,NR,F,NO	3 	4 	4 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,PL	3 ep	3 p	21 p	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,RO	7 	2 	0 	1 
Y55-59,COMPLET,CC5_15_FOR,NR,F,SE	28 	13 	8 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,F,SI	16 	22 	21 	17 
Y55-59,COMPLET,CC5_15_FOR,NR,F,UK	47 	66 	85 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,AT	131 	118 	131 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,BE	33 	33 	17 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,BG	62 	57 	63 p	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,EL	45 b	37 	38 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,ES	27 	14 	14 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,FI	5 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,HR	38 	19 	16.0 	20.0 
Y55-59,COMPLET,CC5_15_FOR,NR,M,IE	0 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,IS	2 	1 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,IT	174 	158 	160 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,LT	4 	2 	1 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,LU	7 	: 	: 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,MT	25 	17 	7 	8 
Y55-59,COMPLET,CC5_15_FOR,NR,M,NO	16 	8 	10 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,PL	14 ep	13 p	36 p	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,RO	29 	24 	8 	18 
Y55-59,COMPLET,CC5_15_FOR,NR,M,SE	37 	20 	18 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,M,SI	76 	51 	60 	49 
Y55-59,COMPLET,CC5_15_FOR,NR,M,UK	60 	48 	51 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,AT	226 	203 	239 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,BE	50 	56 	30 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,BG	71 	66 	73 p	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,EL	83 b	69 	69 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,ES	41 	28 	21 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,FI	5 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,HR	60 	47 	42.0 	41.0 
Y55-59,COMPLET,CC5_15_FOR,NR,T,IE	1 	0 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,IS	2 	1 	0 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,IT	516 	448 	420 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,LT	4 	2 	1 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,LU	15 	: 	: 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,MT	36 	21 	11 	11 
Y55-59,COMPLET,CC5_15_FOR,NR,T,NO	19 	12 	14 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,PL	17 ep	16 p	57 p	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,RO	36 	26 	8 	19 
Y55-59,COMPLET,CC5_15_FOR,NR,T,SE	65 	33 	26 	: 
Y55-59,COMPLET,CC5_15_FOR,NR,T,SI	92 	73 	81 	66 
Y55-59,COMPLET,CC5_15_FOR,NR,T,UK	107 	114 	136 	: 
Y55-59,COMPLET,EFTA_FOR,NR,F,AT	9 	15 	6 	9 
Y55-59,COMPLET,EFTA_FOR,NR,F,BE	4 	3 	7 	3 
Y55-59,COMPLET,EFTA_FOR,NR,F,BG	0 	1 	0 p	2 p
Y55-59,COMPLET,EFTA_FOR,NR,F,EL	2 b	2 	2 	2 
Y55-59,COMPLET,EFTA_FOR,NR,F,ES	84 	70 	90 	71 
Y55-59,COMPLET,EFTA_FOR,NR,F,FI	0 	1 	1 	0 
