CC5_13_FOR_X_IS,Y10-14,NR,F,BG	61 	53 	38 	35 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,CH	6227 	6453 	6783 	7338 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,CY	: 	: 	: 	20 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,CZ	92 	87 	89 	83 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,DE	13718 	16274 	17275 	27154 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,DK	790 	853 	907 	962 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,EE	3 	3 	0 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,EL	: 	: 	: 	138 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,ES	: 	: 	98 	94 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,FI	103 	102 	101 	109 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,FR	: 	: 	: 	8827 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,HR	: 	: 	: 	52 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,HU	41 	39 	40 	43 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,IE	17 	: 	: 	42 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,IS	3 	1 	1 	4 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,IT	3953 	4356 	4779 	5104 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,LI	41 	44 	42 	50 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,LT	2 	1 	0 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,LU	390 	: 	: 	386 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,LV	3 	2 	2 	1 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,NL	1413 	1557 	1728 	1929 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,NO	165 	146 	134 	121 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,PL	: 	: 	: 	0 p	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,PT	6 	: 	: 	4 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,RO	126 	121 	: 	108 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,SE	496 	518 	515 	499 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,SI	380 	377 	358 	329 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,SK	14 	15 	16 	20 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,AT	6451 	6548 	6741 	6798 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,BE	837 	867 	941 	1022 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,BG	86 	62 	61 	44 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,CH	6478 	6661 	7019 	7634 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,CY	: 	: 	: 	36 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,CZ	90 	92 	102 	99 	: 
